data,Kaupimo,Saules,Kitu,Siluminiu,Hidro,Vejo,Vartojimas,Sumine_Generacija,Disbalansas
2025-07-31 02:00:00,3.837,0.0,37.588,62.547,25.16,354.557,993.226,483.689,-509.537
2025-07-31 03:00:00,-0.547,0.0,35.655,63.068,25.411,395.558,981.481,519.145,-462.336
2025-07-31 04:00:00,2.218,1.931,35.591,63.003,24.635,312.868,993.227,440.246,-552.981
2025-07-31 05:00:00,0.569,14.627,33.627,62.953,26.18,293.852,1035.065,431.808,-603.2570000000001
2025-07-31 06:00:00,-3.641,62.722,32.531,65.779,25.953,239.598,1176.682,422.942,-753.74
2025-07-31 07:00:00,-0.434,160.447,32.562,61.899,24.708,169.367,1314.635,448.549,-866.086
2025-07-31 08:00:00,-0.505,271.481,32.692,62.813,24.856,110.204,1398.677,501.541,-897.136
2025-07-31 09:00:00,-0.793,342.726,32.604,72.137,24.663,37.554,1449.131,508.89099999999996,-940.2400000000001
2025-07-31 10:00:00,-2.021,413.285,32.664,71.082,46.873,39.081,1459.525,600.964,-858.561
2025-07-31 11:00:00,-1.35,457.197,31.446,74.153,46.934,38.407,1457.698,646.787,-810.9110000000001
2025-07-31 12:00:00,-1.284,472.51,31.426,73.764,46.886,32.98,1471.451,656.2819999999999,-815.1690000000001
2025-07-31 13:00:00,-0.585,457.532,31.75,73.737,36.742,34.418,1513.349,633.5939999999999,-879.755
2025-07-31 14:00:00,50.589,410.83,82.813,73.246,44.93,38.433,1514.81,700.8409999999999,-813.969
2025-07-31 15:00:00,-40.086,379.595,38.591,71.509,153.654,45.02,1433.895,648.283,-785.612
2025-07-31 16:00:00,-15.805,323.133,32.373,71.884,37.899,44.561,1320.751,494.04499999999996,-826.706
2025-07-31 17:00:00,2.819,239.711,36.465,61.117,24.992,29.867,1246.546,394.97100000000006,-851.575
2025-07-31 18:00:00,9.086,142.985,42.708,60.214,27.002,27.231,1259.847,309.226,-950.621
2025-07-31 19:00:00,3.514,67.38,41.607,58.726,229.752,37.714,1332.677,438.693,-893.9839999999999
2025-07-31 20:00:00,3.374,18.071,36.932,68.537,230.739,35.536,1366.777,393.189,-973.588
2025-07-31 21:00:00,0.503,0.318,34.645,67.885,230.91,34.014,1390.553,368.275,-1022.2780000000001
2025-07-31 22:00:00,-1.798,0.0,33.005,63.862,242.428,42.727,1337.986,380.224,-957.7620000000002
2025-07-31 23:00:00,-1.5,0.0,33.075,60.697,72.468,44.122,1217.487,208.86200000000002,-1008.625
2025-08-01 00:00:00,-5.105,0.0,34.14,64.234,63.874,33.056,1128.811,190.199,-938.6119999999999
2025-08-01 01:00:00,1.864,0.0,35.834,64.731,25.132,8.124,1068.787,135.685,-933.1020000000001
2025-08-01 02:00:00,-0.992,0.0,31.643,73.976,34.675,6.759,1032.366,146.06099999999998,-886.3050000000001
2025-08-01 03:00:00,-2.19,0.0,31.296,74.704,31.478,17.361,1015.333,152.64899999999997,-862.684
2025-08-01 04:00:00,-1.007,3.277,31.112,76.131,25.706,26.411,1022.852,161.63,-861.222
2025-08-01 05:00:00,-1.421,31.593,30.682,79.273,25.991,19.586,1080.6,185.704,-894.896
2025-08-01 06:00:00,-3.549,123.353,30.724,76.942,208.468,7.404,1241.954,443.342,-798.612
2025-08-01 07:00:00,-1.005,297.714,31.881,77.39,211.718,10.827,1360.507,628.525,-731.9820000000001
2025-08-01 08:00:00,-4.636,530.521,32.76,76.974,229.797,2.415,1416.582,867.831,-548.7510000000001
2025-08-01 09:00:00,-10.981,717.574,34.499,93.586,229.853,0.72,1353.79,1065.251,-288.539
2025-08-01 10:00:00,16.386,847.284,46.645,86.573,68.266,5.037,1250.97,1070.191,-180.779
2025-08-01 11:00:00,0.564,945.712,31.275,106.623,36.398,24.856,1267.755,1145.4279999999999,-122.32700000000023
2025-08-01 12:00:00,0.398,1000.245,31.728,108.47,50.645,70.791,1368.076,1262.277,-105.79899999999998
2025-08-01 13:00:00,-1.611,965.411,31.244,108.707,85.23,54.8,1465.019,1243.781,-221.23800000000006
2025-08-01 14:00:00,-5.654,856.738,24.994,98.755,31.548,77.312,1400.009,1083.693,-316.31600000000003
2025-08-01 15:00:00,1.589,729.69,27.84,84.62,24.773,106.119,1321.018,974.6310000000002,-346.38699999999983
2025-08-01 16:00:00,-1.465,554.769,25.999,81.825,24.803,97.408,1246.396,783.339,-463.0569999999999
